Id;Latitude;Longitude;Elevation;HeartRate;Cadence;TrackSegmentId;Power;Temperature;Time
4152;48,86177;2,230453;29,72612;148;0;15;0;0;2019-06-09 14:14:55.000
4153;48,8612;2,230147;31,23287;148;0;15;0;0;2019-06-09 14:14:47.000
4154;48,86075;2,229939;32,18254;147;0;15;0;0;2019-06-09 14:14:41.000
4155;48,86022;2,229746;31,78886;147;0;15;0;0;2019-06-09 14:14:34.000
4156;48,8597;2,229567;30,96092;147;0;15;0;0;2019-06-09 14:14:27.000
4157;48,85962;2,22954;30,89626;147;0;15;0;0;2019-06-09 14:14:26.000
4158;48,8591;2,229318;30,40181;145;0;15;0;0;2019-06-09 14:14:19.000
4159;48,85851;2,229069;31,05973;145;0;15;0;0;2019-06-09 14:14:11.000
4160;48,85807;2,228917;32,31625;144;0;15;0;0;2019-06-09 14:14:05.000
4161;48,85755;2,22876;33,86444;143;0;15;0;0;2019-06-09 14:13:58.000
4162;48,85717;2,228666;33,45164;143;0;15;0;0;2019-06-09 14:13:53.000
4163;48,85671;2,228599;32,14939;143;0;15;0;0;2019-06-09 14:13:47.000
4164;48,85648;2,228579;32,46321;143;0;15;0;0;2019-06-09 14:13:44.000
4165;48,85633;2,228578;32,83706;143;0;15;0;0;2019-06-09 14:13:42.000
4166;48,85595;2,22862;34,07299;142;0;15;0;0;2019-06-09 14:13:37.000
4167;48,85155;2,234203;32,22045;142;0;15;0;0;2019-06-09 14:05:37.000
4168;48,85146;2,235036;34,26423;144;0;15;0;0;2019-06-09 14:05:31.000
4169;48,85142;2,235457;34,45587;146;0;15;0;0;2019-06-09 14:05:28.000
4170;48,85855;2,236995;33,46498;160;0;15;0;0;2019-06-09 13:56:57.000
4171;48,8589;2,236928;33,09595;159;0;15;0;0;2019-06-09 13:56:53.000
4172;48,85933;2,23689;32,87865;159;0;15;0;0;2019-06-09 13:56:48.000
4173;48,85993;2,236994;33,74583;157;0;15;0;0;2019-06-09 13:56:41.000
4174;48,86028;2,237086;33,18328;155;0;15;0;0;2019-06-09 13:56:37.000
4175;48,86051;2,237169;32,90931;155;0;15;0;0;2019-06-09 13:56:34.000
4176;48,86059;2,237205;32,90319;155;0;15;0;0;2019-06-09 13:56:33.000
4177;48,86115;2,237487;32,97425;153;0;15;0;0;2019-06-09 13:56:26.000
4178;48,86169;2,237805;32,12004;150;0;15;0;0;2019-06-09 13:56:19.000
4179;48,85805;2,2371;34,45009;160;0;15;0;0;2019-06-09 13:57:03.000
4180;48,86183;2,23792;32,2289;150;0;15;0;0;2019-06-09 13:56:17.000
4181;48,86238;2,238073;29,70822;150;0;15;0;0;2019-06-09 13:56:10.000
4182;48,86246;2,238062;29,2125;150;0;15;0;0;2019-06-09 13:56:09.000
4183;48,86261;2,237976;29,05652;150;0;15;0;0;2019-06-09 13:56:07.000
4184;48,86304;2,237631;29,55067;151;0;15;0;0;2019-06-09 13:56:01.000
4185;48,86342;2,237295;29,55223;152;0;15;0;0;2019-06-09 13:55:56.000
4186;48,86366;2,236957;29,62573;152;0;15;0;0;2019-06-09 13:55:52.000
4187;48,86389;2,236278;30,32738;151;0;15;0;0;2019-06-09 13:55:46.000
4188;48,86404;2,235833;31,37544;151;0;15;0;0;2019-06-09 13:55:42.000
4189;48,86407;2,235088;31,15978;152;0;15;0;0;2019-06-09 13:55:36.000
4190;48,86222;2,238021;30,59295;150;0;15;0;0;2019-06-09 13:56:12.000
